"","statusesCount","followersCount","friendsCount","flag","logFollowersCount","logStatusesCount","logFriendsCount","cluster"
"234",28470,1463,995,1,7.28824440102012,10.2566061802721,6.90274273715859,3
"235",14504,1127,1487,1,7.02731451403978,9.58217975243469,7.30451594646016,3
"236",1972,283,436,2,5.64544689764324,7.58680353516258,6.07764224334903,5
"237",4943,197,315,2,5.28320372873799,8.50572771330696,5.75257263882563,3
"238",6941,222,283,2,5.40267738187228,8.84520113533958,5.64544689764324,3
"239",766,122,233,1,4.80402104473326,6.64118216974059,5.4510384535657,5
"240",35,68,688,2,4.21950770517611,3.55534806148941,6.53378883793334,2
"241",21619,642,1104,2,6.46458830368996,9.98132783665447,7.00669522683704,3
"242",6317,711,803,1,6.56667242980324,8.7509996908987,6.68835471394676,3
"243",24466,292155,125341,2,12.5850397623321,10.1050396776069,11.7387933020459,1
"244",2495,170,202,2,5.13579843705026,7.82204400818562,5.30826769740121,5
"245",10710,313,240,2,5.74620319054015,9.27893316344179,5.48063892334199,3
"246",766,122,233,2,4.80402104473326,6.64118216974059,5.4510384535657,5
"247",214,203,569,2,5.31320597904179,5.36597601502185,6.34388043412633,5
"248",13326,323,900,2,5.77765232322266,9.49747229312248,6.80239476332431,3
"249",31,36,107,2,3.58351893845611,3.43398720448515,4.67282883446191,2
"250",28297,2061,659,2,7.63094658089046,10.250511070945,6.49072353450251,3
"251",47,10316,2,1,9.24145136700124,3.85014760171006,0.693147180559945,5
"252",5347,389,295,2,5.96357934361845,8.58429093494873,5.68697535633982,3
"253",284,146,200,2,4.98360662170834,5.64897423816121,5.29831736654804,5
"254",1430,573,1838,2,6.35088571671474,7.26542972325395,7.51643330291563,5
"255",185,81,138,2,4.39444915467244,5.22035582507832,4.92725368515721,5
"256",290,94,267,2,4.54329478227,5.66988092298052,5.58724865840025,5
"257",9889,263,165,2,5.57215403217776,9.19917830726999,5.10594547390058,3
"258",5067,557,815,2,6.32256523992728,8.53050420547591,6.70318811324086,3
"259",6621,273,353,2,5.60947179518496,8.79800169492485,5.8664680569333,3
"260",23,37,251,2,3.61091791264422,3.13549421592915,5.52545293913178,2
"261",22767,1270873,488,1,14.0552146238573,10.033067398072,6.19031540585315,1
"262",167,577,1967,2,6.3578422665081,5.11799381241676,7.58426481838906,5
"263",6697,682,615,2,6.52502965784346,8.80941494391005,6.42162226780652,3
"264",1067,102,148,2,4.62497281328427,6.97260625130175,4.99721227376411,5
"265",9441,430,414,2,6.06378520868761,9.15281718573252,6.02586597382531,3
"266",1275,92,237,2,4.52178857704904,7.15070145759253,5.46806014113513,5
"267",294,15,24,2,2.70805020110221,5.68357976733868,3.17805383034795,5
"268",6226,1927,2286,2,7.56371966841437,8.73648935100155,7.73455884435476,3
"269",410,73,282,2,4.29045944114839,6.01615715969835,5.64190707093811,5
"270",277,810,1949,2,6.69703424766648,5.62401750618734,7.57507169950756,5
"271",3637,738,926,2,6.60394382460047,8.19891444498699,6.83087423464618,3
"272",5,168,495,2,5.12396397940326,1.6094379124341,6.20455776256869,2
"273",1342,729,883,2,6.59167373200866,7.20191631753163,6.78332520060396,5
"274",100385,34700,13710,2,10.454494965935,11.5167680726877,9.52588077255636,4
"275",566321,156424,97557,2,11.9603255480061,13.2469163342326,11.4881921015496,1
"276",272,399,1743,2,5.98896141688986,5.605802066296,7.46336304552002,5
"277",31,41,37,2,3.71357206670431,3.43398720448515,3.61091791264422,2
"278",2712,159,86,2,5.06890420222023,7.90544164906029,4.45434729625351,5
"279",17796,382,558,2,5.94542060860658,9.78672899192593,6.32435896238131,3
"280",11546,445,306,2,6.09807428216624,9.35409433562088,5.72358510195238,3
"281",13727,440,153,2,6.08677472691231,9.52711997525166,5.03043792139244,3
"282",25464,130535,126209,1,11.7793966690196,10.1450209689619,11.7456945419189,4
"283",2844,407,584,2,6.00881318544259,7.95296679092313,6.36990098282823,3
"284",21860,589,683,2,6.37842618365159,9.99241376173053,6.52649485957079,3
"285",2266,181,380,2,5.19849703126583,7.72577144158795,5.94017125272043,5
"286",6317,711,803,2,6.56667242980324,8.7509996908987,6.68835471394676,3
"287",8862,489,478,2,6.19236248947487,9.08952775175944,6.16961073249146,3
"288",8978,739,577,2,6.6052979209482,9.10253241934188,6.3578422665081,3
"289",70,496,582,2,6.20657592672493,4.24849524204936,6.36647044773144,2
"290",20551,1150,770,2,7.0475172213573,9.93066488054092,6.64639051484773,3
"291",5040,189,248,2,5.24174701505964,8.52516136106541,5.51342874616498,3
"292",13516,303,217,2,5.71373280550937,9.51162944783418,5.37989735354046,3
"293",14957,1064,795,2,6.96979066990159,9.61293469665933,6.67834211465433,3
"294",3646,191,182,2,5.25227342804663,8.20138595523861,5.2040066870768,3
"295",24,7,41,2,1.94591014905531,3.17805383034795,3.71357206670431,2
"296",1213,86,171,2,4.45434729625351,7.10085190894405,5.14166355650266,5
"297",7851,369,280,2,5.91079664404053,8.96839619119826,5.63478960316925,3
"298",2492,128,421,2,4.85203026391962,7.82084087990734,6.04263283368238,5
"299",23,30,484,2,3.40119738166216,3.13549421592915,6.18208490671663,2
"300",1827,97,328,2,4.57471097850338,7.51043055637801,5.79301360838414,5
"301",8563,168,115,2,5.12396397940326,9.05520587502619,4.74493212836325,3
"302",14957,1064,795,1,6.96979066990159,9.61293469665933,6.67834211465433,3
"303",10576,966,289,2,6.87316383421252,9.26634256209147,5.66642668811243,3
"304",10666,270,998,2,5.59842195899838,9.27481639116055,6.90575327631146,3
"305",282,241,795,2,5.48479693349065,5.64190707093811,6.67834211465433,5
"306",369513,2392013,1274,1,14.6876458288205,12.8199412014308,7.14991683613211,1
"307",6226,1927,2286,1,7.56371966841437,8.73648935100155,7.73455884435476,3
"308",159,69,374,2,4.23410650459726,5.06890420222023,5.92425579741453,5
"309",5309,108,343,2,4.68213122712422,8.57715877258367,5.83773044716594,3
"310",2497,206,130,2,5.32787616878958,7.82284529027977,4.86753445045558,5
"311",827,123,404,2,4.81218435537242,6.71780469502369,6.00141487796115,5
"312",68,118,317,2,4.77068462446567,4.21950770517611,5.75890177387728,2
