"","Row.names","Usuario1","Usuario2","Usuario3","Usuario4","Usuario5"
"735","duck",1,0,0,0,1
"736","duda",0,0,1,2,1
"737","due„",0,0,1,1,1
"738","duela",0,2,0,1,0
"739","dulce",1,1,0,10,0
"740","duro",2,2,6,0,0
"741","ˇÒÄÒÅÒèÒÅÒè",0,0,0,1,1
"742","ecco",1,0,0,0,1
"743","echan",1,0,8,0,0
"744","echo",1,0,0,2,1
"745","ecuador",0,0,20,1,0
"746","ecuamerica",0,1,0,1,2
"747","edad",8,1,0,0,0
"748","edici„n",0,0,2,1,2
"749","edificaciones",1,0,0,3,0
"750","edition",1,0,2,2,0
"751","eduardo",0,1,0,1,0
"752","efectivo",1,0,0,0,1
"753","efecto",0,1,6,1,0
"754","efectos",2,1,0,0,0
"755","eh",2,2,0,1,0
"756","ejemplo",3,0,1,0,0
"757","ejercer",0,2,1,1,1
"758","ejercicio",0,0,2,0,1
"759","elchocolatemencanta",1,3,0,0,0
"760","electoral",0,1,0,2,0
"761","elementos",0,1,1,1,0
"762","ello",1,0,0,0,1
"763","elspeth",0,0,0,1,1
"764","em",4,0,0,1,0
"765","emanuel",1,30,1,0,0
"766","embargo",5,0,0,3,1
"767","embellecedor",0,0,0,2,2
"768","emocionado",0,0,1,0,1
"769","empez„",0,0,1,1,0
"770","empleo",2,0,0,1,0
"771","enamore",0,1,0,0,1
"772","encanta",2,1,0,7,1
"773","encantada",0,1,0,1,1
"774","encontrado",2,0,0,1,1
"775","encontrar",0,1,2,5,0
"776","encontrarse",0,1,0,1,0
"777","encuentra",1,0,7,2,0
"778","encuentras",0,2,0,1,1
"779","encuentro",2,0,10,1,0
"780","encuesta",3,0,1,0,0
"781","enfermedad",2,0,8,1,0
"782","enfrentar",0,0,1,1,0
"783","enjoy",2,0,0,0,1
"784","enlace",0,1,2,0,1
"785","ense„",0,0,2,1,0
"786","ense„„ndonos",0,0,0,1,1
"787","entendi„",0,0,0,1,1
"788","entÈrate",2,1,0,0,0
"789","enter",0,0,1,1,0
"790","entertainment",1,0,1,2,0
"791","entiende",1,1,1,0,0
"792","entiendes",1,0,0,0,1
"793","entiendo",1,1,0,0,2
"794","entire",1,0,0,1,1
"795","entonces",2,1,2,4,2
"796","entra",2,0,1,1,0
"797","entr„",0,0,2,1,2
"798","entrada",3,0,1,2,0
"799","entrega",0,1,6,1,0
"800","entregar",0,0,1,0,1
"801","entrenador",0,1,1,0,0
"802","entretiene",1,0,0,1,0
"803","entrevista",1,0,6,0,0
"804","envidia",4,2,0,0,0
"805","environment",1,0,0,0,1
"806","episode",0,0,0,2,1
"807","episodio",2,1,0,0,0
